cluster_6:1-9898	chr1:1-9898	9898	1788	0.1108	1.811038	16.352184
cluster_23:21515-29830	chr1:21515-29830	8316	2419	0.0539	1.10786099999999	20.572199
cluster_26:30331-37104	chr1:30331-37104	6774	3855	0.3283	20.6303790000002	62.8419699999997
cluster_32:42898-46207	chr1:42898-46207	3310	75	0.0134	0.033604	2.504144
cluster_34:46708-52868	chr1:46708-52868	6161	3776	0.1580	6.42558700000015	40.680911
cluster_36:53369-57820	chr1:53369-57820	4452	272	0.2878	1.013493	3.52137
cluster_38:58321-64871	chr1:58321-64871	6551	4014	0.0835	1.18517399999999	14.1955419999999
cluster_55:75917-85449	chr1:75917-85449	9533	95	0.1723	0.356339	2.068075
cluster_67:90538-99961	chr1:90538-99961	9424	6795	0.3547	11.7496469999993	33.1220080000002
cluster_69:100462-105382	chr1:100462-105382	4921	680	0.0594	0.30219	5.084022
cluster_75:111432-117668	chr1:111432-117668	6237	3289	0.2497	5.28937000000003	21.180875
cluster_77:118169-121573	chr1:118169-121573	3405	540	0.4047	3.99391299999999	9.870028
cluster_78:122074-131117	chr1:122074-131117	9044	4802	0.1233	5.80099499999999	47.0299679999994
cluster_81:135046-143383	chr1:135046-143383	8338	4961	0.3936	5.02013200000014	12.7547179999999
cluster_89:145320-147601	chr1:145320-147601	2282	520	0.0946	1.881572	19.8801
cluster_93:148102-155632	chr1:148102-155632	7531	2955	0.0776	1.66418699999998	21.452726
cluster_94:156133-159031	chr1:156133-159031	2899	352	0.0811	0.62301	7.67862699999999
cluster_96:163876-168445	chr1:163876-168445	4570	2370	0.1241	1.35116499999999	10.884696
cluster_97:168946-175405	chr1:168946-175405	6460	2463	0.1577	2.10674899999999	13.35573
cluster_99:175906-180921	chr1:175906-180921	5016	1954	0.2099	2.583008	12.307062
cluster_101:181422-185701	chr1:181422-185701	4280	3024	0.1314	1.913525	14.5579879999999
cluster_102:186202-193471	chr1:186202-193471	7270	1168	0.1758	4.73741899999999	26.943966
cluster_104:193972-197543	chr1:193972-197543	3572	1315	0.0961	0.471644999999996	4.910168
cluster_107:201902-206852	chr1:201902-206852	4951	1586	0.2118	1.48990399999999	7.03284699999998
cluster_109:207353-210873	chr1:207353-210873	3521	1920	0.0962	1.473588	15.324479
cluster_116:211374-215232	chr1:211374-215232	3859	788	0.1133	0.585821	5.171868
cluster_121:223506-228447	chr1:223506-228447	4942	2505	0.6002	41.0409220000002	68.3772349999999
cluster_122:228948-239278	chr1:228948-239278	10331	3674	0.1145	2.55006999999998	22.269386
cluster_129:239779-245438	chr1:239779-245438	5660	40	0.0519	0.008977	0.172967
cluster_130:245939-248503	chr1:245939-248503	2565	952	0.0520	2.465752	47.4604389999999
cluster_132:249004-253304	chr1:249004-253304	4301	1626	0.1479	2.58599800000001	17.486282
cluster_134:253805-259968	chr1:253805-259968	6164	5120	0.1669	4.53419500000002	27.169701
cluster_139:265752-270048	chr1:265752-270048	4297	810	0.0834	2.076217	24.891327
cluster_142:270549-275273	chr1:270549-275273	4725	1526	0.1411	1.418464	10.056058
cluster_143:275774-283165	chr1:275774-283165	7392	2488	0.1201	5.21830099999992	43.4566410000001
