cluster_6:1-9898	chr1:1-9898	9898	2140	0.0886	1.74467899999999	19.691854
cluster_8:10399-14520	chr1:10399-14520	4122	163	0.0566	0.081692	1.442806
cluster_23:21515-29830	chr1:21515-29830	8316	2551	0.0841	1.48571099999999	17.665856
cluster_26:30331-37104	chr1:30331-37104	6774	4166	0.4101	29.8981380000003	72.8960679999999
cluster_32:42898-46207	chr1:42898-46207	3310	111	0.0215	0.055393	2.581878
cluster_34:46708-52868	chr1:46708-52868	6161	3827	0.0731	2.80874799999999	38.4197929999999
cluster_36:53369-57820	chr1:53369-57820	4452	354	0.1032	0.315691000000002	3.058468
cluster_38:58321-64871	chr1:58321-64871	6551	4046	0.0409	0.760656999999996	18.5805510000001
cluster_43:65372-68346	chr1:65372-68346	2975	23	0.0269	0.015844	0.588534
cluster_55:75917-85449	chr1:75917-85449	9533	171	0.0529	0.173586	3.281355
cluster_67:90538-99961	chr1:90538-99961	9424	7496	0.1261	4.85566300000016	38.4964499999999
cluster_69:100462-105382	chr1:100462-105382	4921	1156	0.0558	0.764545999999993	13.70015
cluster_75:111432-117668	chr1:111432-117668	6237	4521	0.0419	1.32338799999997	31.554968
cluster_77:118169-121573	chr1:118169-121573	3405	502	0.2015	1.701704	8.444428
cluster_78:122074-131117	chr1:122074-131117	9044	5435	0.0477	2.77816100000001	58.2132509999997
cluster_81:135046-143383	chr1:135046-143383	8338	5263	0.2105	2.434256	11.562449
cluster_89:145320-147601	chr1:145320-147601	2282	323	0.0748	0.686535	9.174863
cluster_93:148102-155632	chr1:148102-155632	7531	3056	0.0303	0.666380999999997	21.966352
cluster_94:156133-159031	chr1:156133-159031	2899	541	0.0302	0.378781	12.531958
cluster_96:163876-168445	chr1:163876-168445	4570	2517	0.1054	1.42987199999999	13.564625
cluster_97:168946-175405	chr1:168946-175405	6460	2994	0.0359	0.460616000000001	12.8463349999999
cluster_99:175906-180921	chr1:175906-180921	5016	2033	0.0821	1.20495399999999	14.682154
